caption,art_style,painting,emotion,language
تشبه صور الأبراج التي تشاهدها في السماء,Minimalism,angelo-de-sousa_sem-titulo-1993,amusement,Tamil
图像是几个黑色的椭圆，看起来非常不舒服。,Abstract_Expressionism,aki-kuroda_untitled-2008-1,amusement,Tamil
يظهر من الوشج أن هذا القصر كبير جدا جدا ويبدوا من الوش,Impressionism,claude-monet_rouen-cathedral-evening-harmony-in-brown-1894,amusement,Tamil
As the children sit playing and looking at each other there is a sense of happiness and content,Impressionism,nikolay-bogdanov-belsky_summer-day,amusement,Tamil
I see a man wearing green and blue coat and green cap.,Expressionism,ernst-ludwig-kirchner_women-on-the-street-1915,fear,Tamil
It's just a vague portrait of a woman and a man with some kind of expression on their,Expressionism,ernst-ludwig-kirchner_man-and-naked-woman,amusement,Tamil
 this is very attractive to look at,Impressionism,mary-cassatt_mother-rose-nursing-her-child,amusement,Tamil
لا يوجد شخص يحمل آلة موسيقية و إلا كان هذا الرسم يبدو وكأنه منظر من فيلم ه,Art_Nouveau_Modern,boris-kustodiev_pancake-tuesday-in-a-village-maslenitsa-1916,amusement,Tamil
He looks like an unidentified victim of a terrorist attack.,Impressionism,ilya-repin_sleeping-cossack-1914,fear,Tamil
منزل صغير أبيض مبني من الحجارة,Realism,vasily-vereshchagin_inn-near-tashkent-1867,sadness,Tamil
الأشخاص حول رجل يبدو وكأنه يتلقى محاضرة عن أشياء لم تكن,Baroque,rembrandt_batavernas-trohetsed-1662,amusement,Tamil
She is wearing a white gown with a purple skirt. Her hair is pulled up,Impressionism,berthe-morisot_getting-up-1886,amusement,Tamil
استخدم اللون الأصفر والأسود والوردي لجعل الحيه في الشارع في شكل جميل,Post_Impressionism,david-burliuk_washington-market-1931,amusement,Tamil
There is a group of people hanging out on a porch in front of a large tree,Rococo,giovanni-domenico-tiepolo_peasant-family-at-table-from-the-room-of-rustic-scenes-in-the-foresteria-guesthouse-1757,amusement,Tamil
الامره تبدو و كأنها مكان عائلى بسيط و لكن يوجد به نهد مع,Realism,vincent-van-gogh_cradle-1882(1),amusement,Tamil
The building seems like it's being built.,Pointillism,giacomo-balla_a-worker-s-day-1904,amusement,Tamil
this makes me feel like i could have painted this. this is beautiful.,Impressionism,john-singer-sargent_artist-in-the-simplon,amusement,Tamil
يظهر الرسام في اللوحة انه يتحدث الى شخص و معه الكتاب الذي يحمله في,Expressionism,m.c.-escher_not_detected_204724,amusement,Tamil
This painting reminds me of the young child who wanted to be a pirate at one time,Realism,william-adolphe-bouguereau_the-goose-girl-1891,amusement,Tamil
"Surprised look on her face that she is a lady, that must mean she's old",Impressionism,pierre-auguste-renoir_young-woman-with-a-bun-in-her-hair-1882,amusement,Tamil
جوهرة زهرية بلونها الازرق زاهية المنظر و يوجد زهر,Cubism,paul-cezanne_roses-in-a-bottle-1904,amusement,Tamil
The person walking with a small pack looks like someone who has survived a difficult life on the,Realism,vasily-polenov_railway-near-tarusa-station-1903,contentment,Tamil
كبيره جدا ويوجد الكثير من المنازل وتوجد الكثير من الافرن الكبيره وال,Post_Impressionism,gustave-loiseau_pont-aven-grey-weather-1923,amusement,Tamil
الاسود والابيض يعطي طابع جمالي لللوحة,Romanticism,ivan-aivazovsky_chumaks-in-little-russia,amusement,Tamil
A picture that is very gloomy. The boats look dark and the sky looks dark also,Analytical_Cubism,georges-braque_harbor-in-normandy-1909,fear,Tamil
$ ,Symbolism,nicholas-roerich_night-rider-1918,awe,Tamil
This is an intriguing piece of art. It has many cross lines and a dark,Minimalism,park-seo-bo_ecriture-no-960714-1996,amusement,Tamil
"a blue rectangle and a large pink and green rectangle on a green background, and on the",Color_Field_Painting,jack-bush_purple-thrust-1974,disgust,Tamil
It's a lot of people on the sea and there are people walking on the mountain,Ukiyo_e,utagawa-kuniyoshi_station-hodogaya-through-hiratsuka,amusement,Tamil
Two female dancers are going on a night out,Expressionism,ernst-ludwig-kirchner_english-dancers,amusement,Tamil
图片显示一个女子，穿着粉红色的衣服，手放在一块石头上，看上去非常,Art_Nouveau_Modern,raphael-kirchner_legendes-1903-4,contentment,Tamil
The colors of this photo makes you feel very peaceful and satisfied,Realism,aleksey-savrasov_steppe-day-1852,contentment,Tamil
يجلس رجل ذو وشم كبير و قبعة و يرتدي ثوب أسود كبير و و,Baroque,anthony-van-dyck_an-aristocratic-genoese-1626,sadness,Tamil
a,Impressionism,john-singer-sargent_bedouins,anger,Tamil
السماء عالية و خالية  مما يوحي بالهدوء  مما يجعل المكان يبدو جم,Realism,theodore-rousseau_not_detected_198948,contentment,Tamil
The beautifully dressed young women in their regal poses appear to be about to receive some special,Mannerism_Late_Renaissance,lavinia-fontana_portrait-of-five-women-with-a-dog-and-a-parrot,amusement,Tamil
shirt,Realism,pyotr-konchalovsky_portrait-of-worker-yakobchenko-1938,fear,Tamil
三个女人在谈论，他们看起来很满足。,Early_Renaissance,fra-angelico_the-healing-of-justinian-by-saint-cosmas-and-saint-damian-1440,sadness,Tamil
Omg there is something here  he looks like a demon,Baroque,juan-de-valdes-leal_the-sacrifice-of-isaac-1659,fear,Tamil
图画中这个男人身穿马甲，脚穿高跟鞋，显得他有点,Expressionism,carlos-saenz-de-tejada_the-chapman,sadness,Tamil
This looks like a beautiful scene of music. It has very cute babies and music being played,Baroque,peter-paul-rubens_music-making-angels,amusement,Tamil
أحيانًا ما تأتي الفواكه من تلقاء نفسها ولا يمكن لأحد توقعها,Post_Impressionism,paul-gauguin_apples-in-bowl-1888,amusement,Tamil
بدو الصحراء الحمراء الكبيرة المتباعدة في الشكل والامتداد,Symbolism,nicholas-roerich_rocks-with-buddhist-caves,amusement,Tamil
The mountain has a very deep and dark hole in it and it looks like it could be,Symbolism,nicholas-roerich_rocks-with-buddhist-caves,fear,Tamil
The man and woman both look very tired and the trees look nice.,Expressionism,august-macke_stroller,amusement,Tamil
A small white horse being pulled by a horse with long ears and fur.,Expressionism,umberto-boccioni_car-and-hunting-fox-1904,amusement,Tamil
يؤلمني ان النساء يقضين يومهن بالخارج بينما الحيوانات في,Naive_Art_Primitivism,david-burliuk_woman-with-red-cow,amusement,Tamil
 There is a pretty lady that is striding across a room in high he,Post_Impressionism,henri-de-toulouse-lautrec_conquest-of-passage-1896,amusement,Tamil
الاشكال الهندسية من الصخور والاشجار تبدو غريبة وحاول,Expressionism,martiros-saryan_in-armenia-1923,something else,Tamil
السماء ملبدة بالقماش من كثرة الضباب والصوت هادئ,Impressionism,theodor-pallady_landscape-constantza,amusement,Tamil
الجو شديد البرودة ويبعث على الحزن والاكتئاب,Realism,aleksey-savrasov_winter-landscape-moscow-1873,amusement,Tamil
ميدان مهجور وسط الغابه  يوجد منازل شامخه وسط الغ,Impressionism,pericles-pantazis_snowy-landscape,contentment,Tamil
"The snow falls in a lush, beautiful and natural scene",Impressionism,pericles-pantazis_snowy-landscape,contentment,Tamil
الظلام من فوق يغطى الاحياء المحيطة به من حوله وال,Post_Impressionism,bertalan-por_landscape-by-a-brook-1908,contentment,Tamil
The girls are dressed up in nice clothes and are going for a walk.,Art_Nouveau_Modern,raphael-kirchner_geisha-6,contentment,Tamil
As the boy and the girl are enjoying their day they notice a fly.,Art_Nouveau_Modern,raphael-kirchner_geisha-6,contentment,Tamil
يجلس رجل وعمره فوق الستين وزوجته واثنين من الاطفال امام,Impressionism,claude-monet_the-dinner-1869,amusement,Tamil
هناك منظر رائع في البحر,Post_Impressionism,david-burliuk_japanese-bay-1921,amusement,Tamil
يبدو أنه منظر خيالي يبدو من هذا الارتفاع الواسع جدا والسماء ز,Realism,arkhip-kuindzhi_seashore-1887,contentment,Tamil
The view of the coastal beach and the people at work on it,Impressionism,eugene-boudin_empress-eugenie-on-the-beach-at-trouville-1863,amusement,Tamil
لقد جعلني الجو الصافي والرأسي للغيوم مع الأشجار التي تبدو,Realism,pyotr-konchalovsky_early-spring-1929,amusement,Tamil
مياه مائلة إلى الأزرق والاشجار المذهبة والمياه الهاد,Impressionism,claude-monet_poplars-row-in-autumn,contentment,Tamil
One man and one child are walking in a forest near a castle and farm,Realism,camille-corot_saint-andre-en-morvan-1842,something else,Tamil
جميل جدا هذه المشاهد الخلابة في الظلام و الأشجار,Realism,vasily-polenov_stairway-to-castle,amusement,Tamil
السماء زرقاء والشجرات خضراء والمنزل مبسط وسعيد,Impressionism,robert-julian-onderdonk_texas-landscape,amusement,Tamil
يقدم هذا اللوح منظرا رائعا على هيئة مجموعة من الجبال الخضراء,Realism,camille-corot_roman-countryside,sadness,Tamil
"A sunlit field, where the sun sets behind the hill and the hay",Post_Impressionism,vincent-van-gogh_evening-landscape-with-rising-moon-1889(1),something else,Tamil
the color and the shape of the tree is nice,Cubism,pyotr-konchalovsky_sudak-the-valley-1917,contentment,Tamil
اللون الاخضر من الاشجار الطبيعه والزراعه تبعث على,Cubism,pyotr-konchalovsky_sudak-the-valley-1917,contentment,Tamil
الحدائق الخلابه والسماء الزرقاء تعطي احساس بالفرح,Cubism,pyotr-konchalovsky_sudak-the-valley-1917,amusement,Tamil
النساء يقفون امام منزلهن وهن يحملن ازهاره جميله,Impressionism,pierre-auguste-renoir_the-agreement-1919,sadness,Tamil
يبدو هؤلاء الأشخاص في حالة يرثى لها وقد أصيبوا بالجنون,Expressionism,albert-bloch_entombent,amusement,Tamil
Mimi,Symbolism,nicholas-roerich_cliff-dwellings-arizona-1921-1,excitement,Tamil
I like this little girl in the painting because she looks so cute and funny,Impressionism,berthe-morisot_little-dancer,amusement,Tamil
"the people is so smiling and there is no sadness, just a",Baroque,jan-steen_dissolute-household-1664,sadness,Tamil
The woman in a small town sits under a tree and takes out a basket,Romanticism,arthur-hughes_asleep-in-the-woods,sadness,Tamil
هناك واد منحدر من الجبال والصحراء و مياه البحر و الجبال تعطي,Impressionism,pierre-auguste-renoir_mediteranean-landscape,something else,Tamil
الالوان  المختلطه و العزل بين الطبيعه و الجبال,Impressionism,pierre-auguste-renoir_mediteranean-landscape,contentment,Tamil
الصوره تعطيك شعور جميل لجمال السماء والجبال,Ukiyo_e,utagawa-toyokuni-ii_night-rain-on-oyama,amusement,Tamil
النساء في الخلفية يبدو على وجوههم الفرح والسرور,Rococo,pietro-longhi_the-parlour,amusement,Tamil
"the face is too close to the picture.
the light is off and the",Expressionism,lucian-freud_interior-at-paddington-1951,something else,Tamil
The boy is standing next to the plant and he wears glasses. He,Expressionism,lucian-freud_interior-at-paddington-1951,something else,Tamil
تظهر الأشجار في الصورة كما لو أنها مجهزة للإستعمال,Post_Impressionism,vincent-van-gogh_olive-trees-bright-blue-sky-1889,amusement,Tamil
يبدو المنزل بسيط جدا لكن الشجرة تبدو كبيرة و لطيفة,Post_Impressionism,vincent-van-gogh_farmhouse-in-a-wheat-field-1888-1(1),contentment,Tamil
في هذه اللوحة يبدو المنزل في صورة هادئة و جميلة على الرغم من,Post_Impressionism,vincent-van-gogh_farmhouse-in-a-wheat-field-1888-1(1),amusement,Tamil
تظهر صورة السماء ملبدة بالغيوم والارض ملطخة بالل,Realism,ivan-shishkin_gathering-storm-1884,amusement,Tamil
الأب والام يتحدثون مع بعضهم بانصات شديد,Impressionism,pierre-auguste-renoir_seated-couple-1912,amusement,Tamil
Two men sitting on a bench and listening to each other in amusement,Impressionism,pierre-auguste-renoir_seated-couple-1912,amusement,Tamil
تنام فتاة عارية في الفراش,Expressionism,henri-matisse_odalisque-1923,amusement,Tamil
يبدو هذا الرجل متعبا جدا ويريد أن يستلقي ويستريح,Expressionism,henri-matisse_odalisque-1923,amusement,Tamil
الامرأة مرسومة بطريقة غير مناسبة وتبدو كأنها في حالة مزاجية,Expressionism,henri-matisse_odalisque-1923,sadness,Tamil
بطل و زوجته يجلسان في خيمة في أحد الغابة وسط الثلج,Post_Impressionism,a.y.-jackson_early-spring-quebec-1923,amusement,Tamil
I like how she makes her little daughter look like she just had a rough,Naive_Art_Primitivism,niko-pirosmani_peasant-woman-with-children-goes-for-water,something else,Tamil
As a child I was scared of the woman that was taking me on a,Naive_Art_Primitivism,edith-vonnegut_beefaroni-or-battle-in-the-aisles,something else,Tamil
The whole scene is very funny as the mother is trying to eat from a,Naive_Art_Primitivism,edith-vonnegut_beefaroni-or-battle-in-the-aisles,amusement,Tamil
The woman is very attractive she looks great in this pic. The boys are,Naive_Art_Primitivism,edith-vonnegut_beefaroni-or-battle-in-the-aisles,amusement,Tamil
هذه المشاهد في منتهى الطيبة والراحة والاستمتاع. لا توجد اي,Impressionism,camille-pissarro_wash-house-at-bougival-1872,amusement,Tamil
تتنفس صورة الطبيعة الهادئة على الأرض وتنتشر الأشجار الصغيرة الخضراء,Impressionism,camille-pissarro_wash-house-at-bougival-1872,contentment,Tamil
The people are doing some activities in the water and the trees and clouds are,Impressionism,camille-pissarro_wash-house-at-bougival-1872,amusement,Tamil
She looks very scared and looks like she wants to run away,Post_Impressionism,henri-de-toulouse-lautrec_artillerman-and-girl,something else,Tamil
As the light hits the trees the colors and patterning of the foliage,Realism,camille-corot_clearing-in-the-bois-pierre-at-eveaux-near-chateau-thiery,amusement,Tamil
يبدو منظر طبيعي جميل في نهاية الصيف,Realism,camille-corot_clearing-in-the-bois-pierre-at-eveaux-near-chateau-thiery,sadness,Tamil
The trees and sky are beautiful and the path and little girl are adorable,Realism,camille-corot_clearing-in-the-bois-pierre-at-eveaux-near-chateau-thiery,contentment,Tamil
A very brutal battle between bulls and humans is taking place,Realism,edouard-manet_the-bullfight-1864,amusement,Tamil
A man and a woman read a book together. I am enjoying this as,Impressionism,pierre-auguste-renoir_reading-couple-edmond-renoir-and-marguerite-legrand-1877,amusement,Tamil
تم التقاط اللوحة أمام حجرة صغيرة يوجد بها امرأة و رجل,Impressionism,pierre-auguste-renoir_reading-couple-edmond-renoir-and-marguerite-legrand-1877,contentment,Tamil
الفتاة تقرأ كتابا بينما هو يتلصص على كتابها,Impressionism,pierre-auguste-renoir_reading-couple-edmond-renoir-and-marguerite-legrand-1877,contentment,Tamil
The couple in this painting is reading a book. It is very colorful,Impressionism,pierre-auguste-renoir_reading-couple-edmond-renoir-and-marguerite-legrand-1877,amusement,Tamil
@#@##@#@#@#@#@#@#@#@#@#@#@#@#@#@#@,Realism,theodore-rousseau_the-avenue-of-chestnut-trees-1840,disgust,Tamil
الرجال الذين يجلسون بالقرب من بعضهم البعض على الطاولة ، الذين يستمتعون بما يشاهدونه ، ويشيرون إلى ما يقرأونه ، ويدعونا إلى قراءة هذا,Realism,viktor-vasnetsov_entertainment,amusement,Tamil
التصوير بسيط ولكنه يبدو حقيقي في نفس الوقت.,Impressionism,camille-pissarro_the-effect-of-snow-at-hermitage-1874,contentment,Tamil
"These girls are sitting down on the bridge. They look very lovely, and it looks like it's a nice place to hang out.",Ukiyo_e,kitagawa-utamaro_not_detected_233137,amusement,Tamil
People on horseback in a forest with trees on a misty day.,Expressionism,wassily-kandinsky_blue-mountain-1908,amusement,Tamil
"people are sitting in a car, and they look at something inside that is a surprise to them",New_Realism,john-french-sloan_gray-and-brass-1907,amusement,Tamil
This appears to be a scene in which many people have been caught and sacrificed.,Naive_Art_Primitivism,radi-nedelchev_not-from-earth-1973,disgust,Tamil
الخلفيه الوادعه مع هذا الشكل المثير الذي يدل على عالم مدفون فى الارض,Naive_Art_Primitivism,radi-nedelchev_not-from-earth-1973,amusement,Tamil
the woman looks very relaxed in the bath,Romanticism,alfred-stevens_the-bath,amusement,Tamil
A lady is taking a bath and is reading a book while relaxing,Romanticism,alfred-stevens_the-bath,amusement,Tamil
"three women standing by a field, one of them is plowing",Impressionism,camille-pissarro_three-women-cutting-grass-1886,amusement,Tamil
People gather around in a group of people who are playing the game of hockey in the snow,Art_Nouveau_Modern,boris-kustodiev_the-consecration-of-water-on-the-theophany-1915,excitement,Tamil
 Somebody is gathering hay and getting ready for the night.,Romanticism,william-holman-hunt_cornfield-at-ewell,excitement,Tamil
يظهر الأشخاص يعملون بجد ولكنهم يشعرون بالسوء. يبدو أنهم ينتظرون شخص ما.,Romanticism,francisco-goya_a-prison-scene,amusement,Tamil
الضوء الأخضر و الأزرق و الأصفر و الأسود يجعلها تبدو جميلة و طبيعية جدا و تبدو جميلة للعين,Pointillism,henri-edmond-cross_cape-layet-provence,amusement,Tamil
"People are standing in a crowd of women and children, some with swords, some holding hands.",Art_Nouveau_Modern,andrei-ryabushkin_a-young-man-breaking-into-the-girls-dance-and-the-old-women-are-in-panic,amusement,Tamil
The image is a view of a lake that is frozen over. It has a small camp out where the people are camped. It is a cold day and you can hear the,Baroque,isaac-van-ostade_a-frozen-lake,amusement,Tamil
A lot of people seem to be very sad.,Realism,vincent-van-gogh_soup-distribution-in-a-public-soup-kitchen-1883,sadness,Tamil
"As they stand in a room there are a few things they are doing, not really sure what it is",Realism,vincent-van-gogh_soup-distribution-in-a-public-soup-kitchen-1883,something else,Tamil
تظهر في هذا اللوح الثلوج وقد قطعت الأشجار، وألقي الناس في الشارع لعبور الطريق، وتظهر اللوحة على مظهر بسيط جدًا.,Impressionism,berthe-morisot_snowy-landscape-aka-frost,sadness,Tamil
ما أروع هذا المكان الجميل الذي يعيش فيه الناس في خضم الطبيعة الهادئة، هذا المكان ذو شكل مذهل حيث توجد أوراق خضراء رقيقة جدا بجانب مياه عذبة جدا،,Realism,ivan-shishkin_overgrown-pond-at-the-edge-of-the-forest-siverskaya-1883,amusement,Tamil
the figure is very comfy lying down on the sofa and seems to be having a very good day,Impressionism,mary-cassatt_the-lamp-1891,amusement,Tamil
They are all playing hockey and having a good time,Impressionism,childe-hassam_skating,something else,Tamil
تضع سيدة لوحة على الطاولة أمامها طعاما,Expressionism,marc-chagall_mania-cutting-bread-1914,something else,Tamil
The woman on the white chair is smiling and the man has a smirk on his face. It feels good to be on vacation!,Realism,james-tissot_waiting-for-the-ferry-1,amusement,Tamil
Several people in a group gather on the ground and they are getting stuff from each other,Impressionism,camille-pissarro_the-poultry-market-1885,amusement,Tamil
الورود الحمراء الجميلة تبدو كبيت من بيوت الفلاحين حيث يوجد منزل مبني من الطوب الأحمر ويوجد بجانب المنزل عدة أشجار نخيل,Impressionism,camille-pissarro_landscape-frost-and-fog-eragny-1892,amusement,Tamil
الورق الأحمر يشير إلى الدمار الذي سببه الجفاف للزراعات,Naive_Art_Primitivism,jules-lefranc_links,amusement,Tamil
People in a living room looking bored,Baroque,pieter-de-hooch_woman-drinking-with-soldiers-1658,something else,Tamil
The whole family is in a very comfortable situation.,Baroque,pieter-de-hooch_woman-drinking-with-soldiers-1658,amusement,Tamil
A man and a woman are sitting at a table together with their pets. They look like they are enjoying themselves,Baroque,pieter-de-hooch_woman-drinking-with-soldiers-1658,amusement,Tamil
The people on the horses look like they are trying to race but the two horses are getting close to the ground.,Romanticism,gustave-moreau_two-modern-horsewomen,amusement,Tamil
Looks like the forest is going to get burnt and it looks sad,Realism,ferdinand-hodler_the-beech-forest-1885,sadness,Tamil
I love the bright colors and the way the trees are cut in half with the sky overhead.,Realism,ferdinand-hodler_the-beech-forest-1885,contentment,Tamil
يستمر الرجل بمحاولة تجميل اللوحة,Realism,mikhail-nesterov_old-painter-1884,amusement,Tamil
A man and woman standing in a small town walking side by side in the open green grass.,Impressionism,camille-pissarro_landscape-near-louveciennes-2-1870,amusement,Tamil
Img$$It looks like the woman is going through her own funeral.,Pointillism,georges-seurat_the-black-bow,fear,Tamil
The green leaves in the sky give a feeling of freshness. It is like a small world with trees. I am very satisfied with this piece of art.,Realism,aleksey-savrasov_view-in-the-neighbourhood-of-oranienbaum-1854,contentment,Tamil
يبدو المكان الذي تدور فيه الاحداث صغير الحجم في هذه اللوحة.,Rococo,william-hogarth_the-ball,contentment,Tamil
"The group is in a dark place, the people are all together and they look very happy and excited.",Rococo,william-hogarth_the-ball,excitement,Tamil
الصوره تبدو صامته لكن لو تخيلت اشجار خضراء في هذا الجو القارص ستشعر بالبهجه,Cubism,paul-cezanne_the-garden-terrace-at-les-lauves-1906,something else,Tamil
تماثيل جميلة وأوراق صفراء جميلة وبنية,Cubism,paul-cezanne_the-garden-terrace-at-les-lauves-1906,contentment,Tamil
This image looks like it would be good as a cover to a porn magazine.,Art_Nouveau_Modern,raphael-kirchner_harlequinade-1916,amusement,Tamil
"A beautiful woman, dressed in some form of garment, carries an unattractive man up a staircase to his home.",Art_Nouveau_Modern,raphael-kirchner_harlequinade-1916,amusement,Tamil
يظهر في الخلفية لون أزرق داكن ويحيط بالسور الأبيض الكثير من المنازل,Symbolism,nicholas-roerich_the-church-in-the-name-of-st-sergius-in-america-1931,contentment,Tamil
the colours are gorgeous and the castle is large and large and beautiful,Symbolism,nicholas-roerich_the-church-in-the-name-of-st-sergius-in-america-1931,contentment,Tamil
I feel a lot of tension from the person who is trying to feed the horse on her own,Naive_Art_Primitivism,david-burliuk_a-girl-watering-horse,contentment,Tamil
"The sunset is very beautiful, like the day is ending and the sun will go down.",Romanticism,ivan-aivazovsky_the-varangians-on-the-dnieper-1876,amusement,Tamil
يظهر فيه الشمس وهى تغرب على سطح الماء,Romanticism,ivan-aivazovsky_the-varangians-on-the-dnieper-1876,amusement,Tamil
a,Expressionism,ernst-ludwig-kirchner_sledge-in-the-fog-1929,disgust,Tamil
I am very confused with this one. It looks like it was created by an elementary school student.,Expressionism,ernst-ludwig-kirchner_sledge-in-the-fog-1929,disgust,Tamil
الحدييقه الجميله مع وجود العشب الاخضر بين الاشجار البيضاء في الغيمه مع وجود العشرات من الاشجار علي الجانب الاخر,Impressionism,claude-monet_vetheuil-prairie-inondee,contentment,Tamil
السماء نظيفة وأصفر فاتح مع غابات خضراء وحقول خالية من الحشائش والوديان الصغيرة,Impressionism,laszlo-mednyanszky_hildside-at-springtime-little-landscape-1904,contentment,Tamil
بهذه اللوحه التي فيها يخت كبير وبحره كبيره به الكثير من الاشخاص وتظهر انه يوجد الكثير من العمل داخل هذه البحريه الكبيره,Impressionism,eugene-boudin_deauville-on-the-jetty-1889,amusement,Tamil
"The two characters have long, beautiful flowing hair, and they look very attractive.",Expressionism,edvard-munch_eye-in-eye-1894,something else,Tamil
"They are at a farm and there are a few cows and the animals are grazing on grass. The animals look so happy and content, it makes you feel good.",Romanticism,john-constable_dedham-vale-morning-1811,amusement,Tamil
People are being attended to at the funeral of a relative.,Post_Impressionism,charles-cottet_au-pays-de-la-mer-douleur-1909,sadness,Tamil
People in distress and people that want to help and comfort them,Post_Impressionism,charles-cottet_au-pays-de-la-mer-douleur-1909,sadness,Tamil
People look at the dead body and it is very sad,Post_Impressionism,charles-cottet_au-pays-de-la-mer-douleur-1909,sadness,Tamil
جميل جدآ ومثير للانتباه منظر ذلك الطريق الذي يسير فيه الشاب,Impressionism,camille-pissarro_the-large-walnut-tree-at-hermitage-1875,amusement,Tamil
A woman walking in a lush green field. She seems to be holding on tightly to the handle of a green umbrella. The umbrella has a red cloth with yellow trim,Impressionism,claude-monet_the-promenade-near-limetz,amusement,Tamil
This is an interesting painting of a woman holding an umbrella on her way to a farm. She is surrounded by green and golden hills. It is a pretty landscape. She is,Impressionism,claude-monet_the-promenade-near-limetz,contentment,Tamil
Two people having a good time with their eyes closed,Expressionism,dimitris-mytaras_two-forms,amusement,Tamil
A boy and a girl are sitting by a fireplace with a small duck.,Baroque,bartolome-esteban-murillo_game-dealers,sadness,Tamil
مرتفعات مرتعشة وحقول خضراء مضيئة وممر مليء بالأشجار,Realism,ivan-shishkin_forest-road-1892,amusement,Tamil
هناك مكان جميل به الأشجار الخضراء وأوراق الأشجار الصفراء والسماء الجميلة,Impressionism,gustave-caillebotte_the-park-monceau,amusement,Tamil
Looks like a beautiful cow in a beautiful pasture with trees and a small stream,Romanticism,william-shayer_near-the-new-forest,amusement,Tamil
هذه صورة طبيعية من الطبيعة الخلابة التي تتميز بها الطبيعة فى أماكن شاسعة,Romanticism,jean-leon-gerome_quaerens-quem-devoret,amusement,Tamil
OoWow,Romanticism,jean-leon-gerome_quaerens-quem-devoret,awe,Tamil
الأشجار والنباتات الخضراء في صورة مذهلة جدا,Post_Impressionism,gustave-loiseau_small-farm-by-the-eure-river,contentment,Tamil
المرأة تبدو حزينة في عملها,Realism,vincent-van-gogh_woman-feeding-chickens-1883,something else,Tamil
The woman is alone and is going to harvest the fruit from the trees,Realism,vincent-van-gogh_woman-feeding-chickens-1883,something else,Tamil
الحديقة جميلة جدا بظلها الطبيعى و أوراق الشجر الزاهية و الاخضرار,Realism,isaac-levitan_in-the-forest-at-autumn-1894,something else,Tamil
الضوء الساطع يخترق الغابة الدافئة والمظلمة مع بعض الأوراق التي تنمو,Realism,isaac-levitan_in-the-forest-at-autumn-1894,contentment,Tamil
"A woman in a pink dress, with a hat and a bunch of flowers, is hanging out with some",Rococo,pietro-longhi_the-confession,amusement,Tamil
The person looks so depressed and angry she looks like a victim of torture. The rest are in a panic,Rococo,pietro-longhi_the-confession,something else,Tamil
تظهر شروق الشمس على بحر كبير وأسفله قوارب في عرض البحر,Romanticism,ivan-aivazovsky_view-of-the-golden-horn,contentment,Tamil
"A man in a long jacket standing next to a lady wearing a dress of bright colors, their looks are",Post_Impressionism,pablo-picasso_spouses-sisley-after-the-the-betrothed-by-auguste-renoir-1919,amusement,Tamil
A woman in a black dress holding a man's hand and he smiling.,Post_Impressionism,pablo-picasso_spouses-sisley-after-the-the-betrothed-by-auguste-renoir-1919,excitement,Tamil
رجل يرتدي الملابس الداخلية مع زوجتهُ على الفراش في منظر مثير,Post_Impressionism,pablo-picasso_spouses-sisley-after-the-the-betrothed-by-auguste-renoir-1919,amusement,Tamil
A man with a beard and another woman in long dress is dancing together.,Post_Impressionism,pablo-picasso_spouses-sisley-after-the-the-betrothed-by-auguste-renoir-1919,contentment,Tamil
The woman is looking at the man she is helping and the look of satisfaction on her face is just incredible,Baroque,jean-baptiste-simeon-chardin_the-morning-toilet,amusement,Tamil
الامرأه تبدو في قمة المرح مع قطه صغيرة وهي تسرحها,Baroque,jean-baptiste-simeon-chardin_the-morning-toilet,amusement,Tamil
Looks like it looks very calm in that picture. It makes me wonder if it is a farm,Impressionism,henri-matisse_landscape-of-corsica,amusement,Tamil
The image looks calm and peaceful as the men and women carry items across a small stream.,Baroque,isaac-van-ostade_travellers-halting-at-an-inn,amusement,Tamil
هذه الوانه جميلة وحساسة وجيدة وناجحة,Realism,pyotr-konchalovsky_study-1951-1,contentment,Tamil
يظهر ذلك المشهد الأشجار الخضراء العالية فى الغابة التى تنمو وتكبر بشكل خيالى فى منظر بدي,Realism,pyotr-konchalovsky_study-1951-1,something else,Tamil
الوان الازرق والذهبي والسواد من الطبيعة في هذه البستان  تجعل الشخص يشعر بالسعادة,Impressionism,isaac-levitan_gray-day-1888,contentment,Tamil
Blue sea and white foam waves,Impressionism,guy-rose_the-sea-view-of-cliffs,amusement,Tamil
تظهر الوحده عندما تنزل في الغابه حيث تعيش الحيوانات البرية، ويوجد رجل واحد فقط يت,Realism,claude-monet_view-at-rouelles-le-havre,amusement,Tamil
لوحه مناظر الطبيعه الرائعه حيث توجد منطقه خضراء ومنظر طبيعى جدا,Realism,claude-monet_view-at-rouelles-le-havre,amusement,Tamil
The woman in the center has her arms full and seems upset with her position in the painting. She doesn't,Naive_Art_Primitivism,marc-chagall_saint-paul-de-vance-at-sunset-1977,amusement,Tamil
the nude figure is looking up with a sad face.,Impressionism,paul-cezanne_bather-from-the-back-1878,something else,Tamil
A naked woman standing with her hand on the sky looks like she is about to start some sexual activity.,Impressionism,paul-cezanne_bather-from-the-back-1878,amusement,Tamil
The women are in a good mood. Their attire makes it clear that they are at an event.,Impressionism,william-merritt-chase_a-friendly-call,amusement,Tamil
الوضوئه الواضحه للديكور وتصويرهم فى غرفة المعيشه فى وضع ودود,Impressionism,william-merritt-chase_a-friendly-call,something else,Tamil
